"DADOS DO MUNICÍPIO - 

Nome do município
cod:municipio","DADOS DO MUNICÍPIO - 

Código IBGE (6 dígitos)
cod:ibge6","DADOS DO MUNICÍPIO - 

Código IBGE (7 dígitos)
cod:ibge7","Municipios que aderiram ao Criança Feliz.

Fonte: Sedese/DSBS/Consulta em 15/06/2026","Municipios com o serviço Família Acolhedora 

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para Criança e Adolescente

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para Idosos

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para PCD

Fonte: MDS/CadSUAS. Consulta em 15/06/2026"
CARMESIA,311380,3113800,-,0,0,0,
CARMO DA CACHOEIRA,311390,3113909,Aderiu,0,1,1,
CARMO DA MATA,311400,3114006,Aderiu,0,0,1,
CARMO DE MINAS,311410,3114105,-,0,0,1,
CARMO DO CAJURU,311420,3114204,-,1,1,1,
CARMO DO PARANAIBA,311430,3114303,-,0,1,1,
CARMO DO RIO CLARO,311440,3114402,Aderiu,0,1,1,
CARMOPOLIS DE MINAS,311450,3114501,Aderiu,1,1,1,
CARNEIRINHO,311455,3114550,-,0,0,0,
CARRANCAS,311460,3114600,-,0,0,0,
CARVALHOPOLIS,311470,3114709,-,0,0,1,
CARVALHOS,311480,3114808,-,0,0,1,
CASA GRANDE,311490,3114907,-,0,0,0,
CASCALHO RICO,311500,3115003,-,0,0,0,
CASSIA,311510,3115102,Aderiu,1,2,1,
CATAGUASES,311530,3115300,Aderiu,0,2,1,
CATAS ALTAS,311535,3115359,-,0,0,0,
CATAS ALTAS DA NORUEGA,311540,3115409,-,0,0,0,
CATUJI,311545,3115458,Aderiu,1,1,0,
CATUTI,311547,3115474,Aderiu,1,1,0,
CAXAMBU,311550,3115508,Aderiu,0,1,1,
CEDRO DO ABAETE,311560,3115607,-,0,0,0,
CENTRAL DE MINAS,311570,3115706,Aderiu,0,0,0,
CENTRALINA,311580,3115805,Aderiu,0,1,0,
CHACARA,311590,3115904,-,0,0,0,
CHALE,311600,3116001,Aderiu,0,0,0,
CHAPADA DO NORTE,311610,3116100,Aderiu,0,0,0,
CHAPADA GAUCHA,311615,3116159,Aderiu,0,0,0,
CHIADOR,311620,3116209,-,0,0,0,
CIPOTANEA,311630,3116308,-,0,0,1,
CLARAVAL,311640,3116407,-,1,1,0,
CLARO DOS POCOES,311650,3116506,Aderiu,0,0,0,
CLAUDIO,311660,3116605,-,0,1,3,
COIMBRA,311670,3116704,Aderiu,0,0,0,
COLUNA,311680,3116803,Aderiu,0,1,1,
COMENDADOR GOMES,311690,3116902,-,0,0,0,
COMERCINHO,311700,3117009,Aderiu,0,0,0,
CONCEICAO DA APARECIDA,311710,3117108,Aderiu,0,0,1,
CONCEICAO DA BARRA DE MINAS,311520,3115201,-,0,0,1,
CONCEICAO DAS ALAGOAS,311730,3117306,Aderiu,0,1,1,
CONCEICAO DAS PEDRAS,311720,3117207,-,0,0,0,
CONCEICAO DE IPANEMA,311740,3117405,-,0,0,0,
CONCEICAO DO MATO DENTRO,311750,3117504,-,0,1,0,
CONCEICAO DO PARA,311760,3117603,-,0,0,0,
CONCEICAO DO RIO VERDE,311770,3117702,-,0,0,1,
CONCEICAO DOS OUROS,311780,3117801,Aderiu,1,1,1,
CONEGO MARINHO,311783,3117836,Aderiu,0,0,0,
CONFINS,311787,3117876,-,0,0,0,
CONGONHAL,311790,3117900,-,0,0,1,
CONGONHAS,311800,3118007,-,0,1,2,
CONGONHAS DO NORTE,311810,3118106,Aderiu,0,0,0,
CONQUISTA,311820,3118205,-,0,0,1,
CONSELHEIRO LAFAIETE,311830,3118304,-,1,3,1,
CONSELHEIRO PENA,311840,3118403,Aderiu,0,1,1,
CONSOLACAO,311850,3118502,-,0,0,0,
CONTAGEM,311860,3118601,-,0,6,2,
COQUEIRAL,311870,3118700,-,0,1,1,
CORACAO DE JESUS,311880,3118809,Aderiu,0,1,1,
CORDISBURGO,311890,3118908,-,1,1,1,
CORDISLANDIA,311900,3119005,-,0,0,1,
CORINTO,311910,3119104,Aderiu,1,1,1,
COROACI,311920,3119203,Aderiu,0,1,0,
COROMANDEL,311930,3119302,Aderiu,1,2,1,
CORONEL FABRICIANO,311940,3119401,-,1,3,1,
CORONEL MURTA,311950,3119500,Aderiu,0,0,0,
CORONEL PACHECO,311960,3119609,-,0,0,0,
CORONEL XAVIER CHAVES,311970,3119708,-,0,0,0,
CORREGO DANTA,311980,3119807,-,0,0,1,
CORREGO DO BOM JESUS,311990,3119906,-,0,0,0,
CORREGO FUNDO,311995,3119955,-,1,1,1,
CORREGO NOVO,312000,3120003,-,0,0,0,
COUTO DE MAGALHAES DE MINAS,312010,3120102,-,0,0,0,
CRISOLITA,312015,3120151,Aderiu,1,1,0,
CRISTAIS,312020,3120201,Aderiu,0,1,1,
CRISTALIA,312030,3120300,Aderiu,0,1,0,
CRISTIANO OTONI,312040,3120409,-,0,0,0,
CRISTINA,312050,3120508,-,0,0,1,
CRUCILANDIA,312060,3120607,-,0,1,1,
CRUZEIRO DA FORTALEZA,312070,3120706,-,0,1,0,
CRUZILIA,312080,3120805,Aderiu,0,0,2,
CUPARAQUE,312083,3120839,Aderiu,0,0,0,
CURRAL DE DENTRO,312087,3120870,Aderiu,0,1,0,
CURVELO,312090,3120904,Aderiu,1,2,2,
DATAS,312100,3121001,Aderiu,0,0,0,
DELFIM MOREIRA,312110,3121100,-,0,0,0,
